"","GENERAL.APPEARANCE","MANNER.OF.SPEAKING","PHYSICAL.CONDITION","MENTAL.ALERTNESS","SELF.CONFIDENCE","ABILITY.TO.PRESENT.IDEAS","COMMUNICATION.SKILLS","CLASS_factor","CLASS_encoded.CLASS_factorEmployable","CLASS_encoded.CLASS_factorLessEmployable"
"502",4,4,5,5,4,5,5,"LessEmployable",0,1
"503",4,5,5,5,5,4,5,"Employable",1,0
"504",4,5,5,5,5,4,5,"Employable",1,0
"505",4,4,3,4,4,4,4,"LessEmployable",0,1
"506",4,3,4,4,4,3,3,"LessEmployable",0,1
"507",4,3,4,4,3,4,4,"LessEmployable",0,1
"508",3,3,4,4,4,4,4,"LessEmployable",0,1
"509",5,4,4,4,5,4,5,"LessEmployable",0,1
"510",3,3,3,3,4,3,3,"Employable",1,0
"511",3,3,4,3,4,3,3,"Employable",1,0
"512",3,4,3,4,3,4,3,"Employable",1,0
"513",4,4,4,3,4,4,3,"LessEmployable",0,1
"514",5,4,4,3,3,4,4,"LessEmployable",0,1
"515",4,3,2,4,3,4,3,"LessEmployable",0,1
"516",5,5,5,4,5,4,5,"LessEmployable",0,1
"517",4,2,4,4,3,3,3,"LessEmployable",0,1
"518",5,5,5,5,5,5,5,"LessEmployable",0,1
"519",4,3,3,4,3,3,3,"Employable",1,0
"520",5,4,3,3,3,3,2,"LessEmployable",0,1
"521",5,5,5,5,5,4,5,"Employable",1,0
"522",4,5,5,5,5,5,5,"LessEmployable",0,1
"523",4,5,5,3,3,5,3,"LessEmployable",0,1
"524",4,5,3,5,5,5,3,"Employable",1,0
"525",3,5,5,3,5,5,3,"Employable",1,0
"526",3,3,3,3,3,3,3,"Employable",1,0
"527",4,3,4,4,4,3,3,"Employable",1,0
"528",4,3,4,2,2,2,2,"LessEmployable",0,1
"529",3,2,3,3,3,3,3,"LessEmployable",0,1
"530",5,5,4,5,4,5,4,"LessEmployable",0,1
"531",3,4,3,4,3,4,3,"Employable",1,0
"532",4,3,3,3,3,3,3,"Employable",1,0
"533",5,4,4,4,4,4,4,"Employable",1,0
"534",4,4,4,4,4,4,4,"Employable",1,0
"535",4,4,4,4,3,3,3,"LessEmployable",0,1
"536",5,4,5,5,5,5,4,"LessEmployable",0,1
"537",3,4,3,3,3,3,3,"LessEmployable",0,1
"538",4,3,3,3,3,3,3,"Employable",1,0
"539",4,5,4,4,4,4,4,"LessEmployable",0,1
"540",5,4,4,4,4,4,4,"Employable",1,0
"541",5,5,4,5,4,4,5,"Employable",1,0
"542",4,4,4,4,5,5,5,"Employable",1,0
"543",4,3,3,4,3,3,3,"LessEmployable",0,1
"544",4,5,5,5,4,4,4,"Employable",1,0
"545",4,4,4,3,3,4,3,"Employable",1,0
"546",4,4,4,3,3,4,3,"Employable",1,0
"547",4,5,4,5,5,5,5,"Employable",1,0
"548",4,4,4,4,4,4,3,"Employable",1,0
"549",4,3,3,3,3,3,2,"LessEmployable",0,1
"550",3,3,3,2,3,3,3,"LessEmployable",0,1
"551",4,4,3,3,4,4,3,"Employable",1,0
"552",4,4,3,3,3,3,3,"Employable",1,0
"553",4,4,4,3,3,3,3,"Employable",1,0
"554",5,3,3,4,3,3,3,"Employable",1,0
"555",4,4,4,4,4,4,4,"Employable",1,0
"556",4,4,3,4,3,4,4,"Employable",1,0
"557",5,5,5,5,5,5,4,"LessEmployable",0,1
"558",3,4,4,4,3,4,4,"Employable",1,0
"559",4,3,3,2,3,3,2,"LessEmployable",0,1
"560",3,3,3,3,3,2,2,"LessEmployable",0,1
"561",4,4,3,4,4,4,3,"LessEmployable",0,1
"562",3,3,3,3,3,3,3,"LessEmployable",0,1
"563",5,3,3,3,3,3,3,"LessEmployable",0,1
"564",4,4,4,4,4,4,4,"LessEmployable",0,1
"565",4,4,4,5,5,4,4,"LessEmployable",0,1
"566",4,3,3,4,5,4,3,"LessEmployable",0,1
"567",5,4,5,4,4,4,4,"Employable",1,0
"568",5,4,4,4,4,4,4,"Employable",1,0
"569",5,4,5,5,5,5,4,"Employable",1,0
"570",4,3,3,3,5,3,3,"LessEmployable",0,1
"571",5,5,5,5,5,4,4,"Employable",1,0
"572",5,5,4,4,5,5,4,"Employable",1,0
"573",4,4,4,4,3,3,3,"LessEmployable",0,1
"574",5,5,5,5,5,4,4,"Employable",1,0
"575",5,4,4,4,4,5,4,"Employable",1,0
"576",5,5,5,5,5,5,4,"Employable",1,0
"577",4,3,4,4,3,4,3,"LessEmployable",0,1
"578",4,3,4,4,3,3,3,"LessEmployable",0,1
"579",5,5,4,5,5,4,4,"LessEmployable",0,1
"580",4,4,4,5,5,4,3,"LessEmployable",0,1
"581",5,4,5,5,5,5,5,"Employable",1,0
"582",5,3,3,4,5,3,3,"Employable",1,0
"583",5,5,5,5,4,5,4,"Employable",1,0
"584",5,5,4,5,4,5,5,"Employable",1,0
"585",4,4,3,3,3,4,4,"LessEmployable",0,1
"586",5,5,5,5,5,4,4,"Employable",1,0
"587",5,5,5,5,5,4,4,"Employable",1,0
"588",5,4,5,5,5,4,4,"Employable",1,0
"589",5,4,5,5,5,4,4,"Employable",1,0
"590",4,3,4,3,4,3,3,"LessEmployable",0,1
"591",5,4,5,5,4,4,4,"LessEmployable",0,1
"592",5,3,4,4,3,4,3,"LessEmployable",0,1
"593",5,3,3,3,4,3,3,"LessEmployable",0,1
"594",5,4,5,5,5,4,4,"Employable",1,0
"595",5,5,5,5,5,4,4,"Employable",1,0
"596",5,4,5,5,5,4,4,"Employable",1,0
"597",5,5,5,5,5,5,4,"Employable",1,0
"598",5,4,5,5,5,4,4,"Employable",1,0
"599",5,5,5,5,5,5,4,"Employable",1,0
"600",5,4,5,5,4,4,4,"Employable",1,0
"601",5,3,4,4,4,4,3,"LessEmployable",0,1
"602",4,4,4,4,3,4,4,"LessEmployable",0,1
"603",5,4,5,5,5,4,4,"Employable",1,0
"604",4,5,4,4,4,5,4,"Employable",1,0
"605",4,3,3,3,3,3,3,"Employable",1,0
"606",4,4,4,4,5,4,4,"LessEmployable",0,1
"607",3,3,3,4,3,3,3,"Employable",1,0
"608",4,4,4,3,3,3,3,"Employable",1,0
"609",4,4,4,3,4,3,3,"LessEmployable",0,1
"610",4,4,4,4,4,4,4,"Employable",1,0
"611",3,3,3,4,3,3,3,"Employable",1,0
"612",5,5,3,5,3,5,5,"Employable",1,0
"613",4,4,4,4,4,4,4,"Employable",1,0
"614",4,5,5,5,5,5,5,"Employable",1,0
"615",4,4,4,4,4,4,4,"Employable",1,0
"616",4,3,3,3,3,3,3,"Employable",1,0
"617",3,4,3,4,3,4,3,"Employable",1,0
"618",4,4,4,4,4,4,4,"LessEmployable",0,1
"619",4,3,3,3,4,3,4,"LessEmployable",0,1
"620",4,4,4,4,3,4,3,"Employable",1,0
"621",3,4,4,4,3,4,3,"Employable",1,0
"622",5,4,4,4,4,4,4,"Employable",1,0
"623",4,4,4,3,3,4,4,"Employable",1,0
"624",3,4,4,3,4,4,3,"LessEmployable",0,1
"625",4,3,2,3,2,2,3,"Employable",1,0
"626",4,3,4,3,4,3,3,"Employable",1,0
"627",4,4,3,4,3,4,3,"LessEmployable",0,1
"628",4,4,4,4,3,3,3,"Employable",1,0
"629",5,3,3,4,3,3,3,"LessEmployable",0,1
"630",4,3,3,3,3,3,2,"Employable",1,0
"631",3,4,4,4,4,4,4,"Employable",1,0
"632",4,5,4,5,4,4,4,"Employable",1,0
"633",4,4,4,3,4,4,3,"LessEmployable",0,1
"634",4,4,4,4,3,4,4,"Employable",1,0
"635",5,5,5,5,5,5,4,"Employable",1,0
"636",3,3,3,3,3,2,2,"Employable",1,0
"637",4,4,4,4,4,4,3,"LessEmployable",0,1
"638",4,4,4,4,4,4,4,"LessEmployable",0,1
"639",4,3,3,3,3,3,2,"Employable",1,0
"640",5,4,4,4,4,4,4,"Employable",1,0
"641",3,3,3,3,3,3,3,"LessEmployable",0,1
"642",4,3,4,3,3,3,3,"Employable",1,0
"643",4,3,4,3,3,3,2,"Employable",1,0
"644",2,2,3,3,3,3,3,"LessEmployable",0,1
"645",4,4,3,4,3,4,3,"LessEmployable",0,1
"646",4,4,4,3,3,4,3,"Employable",1,0
"647",4,4,5,4,4,4,4,"LessEmployable",0,1
"648",5,4,4,4,4,3,3,"LessEmployable",0,1
"649",4,4,4,4,3,4,3,"LessEmployable",0,1
"650",4,4,4,4,4,4,4,"LessEmployable",0,1
"651",4,5,4,4,4,4,4,"LessEmployable",0,1
"652",5,5,4,5,5,5,5,"Employable",1,0
"653",4,4,4,4,4,4,4,"Employable",1,0
"654",5,4,4,4,4,4,3,"LessEmployable",0,1
"655",5,4,4,4,4,4,3,"LessEmployable",0,1
"656",5,5,4,4,5,4,5,"LessEmployable",0,1
"657",5,4,4,4,4,4,3,"Employable",1,0
"658",5,4,4,4,4,4,3,"Employable",1,0
"659",5,5,4,4,5,4,4,"Employable",1,0
"660",4,3,4,4,4,3,3,"Employable",1,0
"661",5,4,3,3,3,4,4,"LessEmployable",0,1
"662",5,5,5,5,5,5,5,"Employable",1,0
"663",5,4,5,5,5,5,4,"Employable",1,0
"664",5,4,5,5,5,5,4,"Employable",1,0
"665",5,3,5,4,4,3,3,"Employable",1,0
"666",5,4,5,5,5,4,4,"Employable",1,0
"667",5,3,5,4,4,4,3,"LessEmployable",0,1
"668",5,5,5,5,5,4,3,"Employable",1,0
"669",5,5,5,5,5,5,3,"Employable",1,0
"670",5,4,4,4,4,4,4,"LessEmployable",0,1
"671",4,3,4,4,4,3,3,"LessEmployable",0,1
"672",4,4,4,4,4,4,3,"LessEmployable",0,1
"673",4,4,5,4,4,4,3,"LessEmployable",0,1
"674",5,3,5,4,5,5,3,"Employable",1,0
"675",5,3,3,3,3,3,2,"Employable",1,0
"676",4,3,4,3,4,3,4,"Employable",1,0
"677",4,3,4,4,4,3,3,"Employable",1,0
"678",4,3,3,2,3,2,3,"Employable",1,0
"679",5,5,5,5,5,5,4,"LessEmployable",0,1
"680",4,3,4,3,4,3,4,"LessEmployable",0,1
"681",3,3,4,4,4,3,3,"LessEmployable",0,1
"682",4,3,4,4,4,3,3,"Employable",1,0
"683",4,4,4,4,4,3,3,"Employable",1,0
"684",4,4,5,5,4,5,5,"LessEmployable",0,1
"685",4,5,5,5,5,4,5,"Employable",1,0
"686",4,5,5,5,5,4,5,"Employable",1,0
"687",4,4,3,4,4,4,4,"LessEmployable",0,1
"688",4,3,4,4,4,3,3,"LessEmployable",0,1
"689",4,3,4,4,3,4,4,"LessEmployable",0,1
"690",3,3,4,4,4,4,4,"LessEmployable",0,1
"691",5,4,4,4,5,4,5,"LessEmployable",0,1
"692",3,3,3,3,4,3,3,"Employable",1,0
"693",3,3,4,3,4,3,3,"Employable",1,0
"694",3,4,3,4,3,4,3,"Employable",1,0
"695",4,4,4,3,4,4,3,"LessEmployable",0,1
"696",5,4,4,3,3,4,4,"LessEmployable",0,1
"697",4,3,2,4,3,4,3,"LessEmployable",0,1
"698",5,5,5,4,5,4,5,"LessEmployable",0,1
"699",4,2,4,4,3,3,3,"LessEmployable",0,1
"700",5,5,5,5,5,5,5,"LessEmployable",0,1
"701",4,3,3,4,3,3,3,"Employable",1,0
"702",5,4,3,3,3,3,2,"LessEmployable",0,1
"703",5,5,5,5,5,4,5,"Employable",1,0
"704",4,5,5,5,5,5,5,"LessEmployable",0,1
"705",4,5,5,3,3,5,3,"LessEmployable",0,1
"706",4,5,3,5,5,5,3,"Employable",1,0
"707",3,5,5,3,5,5,3,"Employable",1,0
"708",3,3,3,3,3,3,3,"Employable",1,0
"709",4,3,4,4,4,3,3,"Employable",1,0
"710",4,3,4,2,2,2,2,"LessEmployable",0,1
"711",3,2,3,3,3,3,3,"LessEmployable",0,1
"712",5,5,4,5,4,5,4,"LessEmployable",0,1
"713",3,4,3,4,3,4,3,"Employable",1,0
"714",4,3,3,3,3,3,3,"Employable",1,0
"715",5,4,4,4,4,4,4,"Employable",1,0
"716",4,4,4,4,4,4,4,"Employable",1,0
"717",4,4,4,4,3,3,3,"LessEmployable",0,1
"718",5,4,5,5,5,5,4,"LessEmployable",0,1
"719",3,4,3,3,3,3,3,"LessEmployable",0,1
"720",4,3,3,3,3,3,3,"Employable",1,0
"721",4,5,4,4,4,4,4,"LessEmployable",0,1
"722",5,4,4,4,4,4,4,"Employable",1,0
"723",5,5,4,5,4,4,5,"Employable",1,0
"724",4,4,4,4,5,5,5,"Employable",1,0
"725",4,3,3,4,3,3,3,"LessEmployable",0,1
"726",4,5,5,5,4,4,4,"Employable",1,0
"727",4,4,4,3,3,4,3,"Employable",1,0
"728",4,4,4,3,3,4,3,"Employable",1,0
"729",4,5,4,5,5,5,5,"Employable",1,0
"730",4,4,4,4,4,4,3,"Employable",1,0
"731",4,3,3,3,3,3,2,"LessEmployable",0,1
"732",3,3,3,2,3,3,3,"LessEmployable",0,1
"733",4,4,3,3,4,4,3,"Employable",1,0
"734",4,4,3,3,3,3,3,"Employable",1,0
"735",4,4,4,3,3,3,3,"Employable",1,0
"736",5,3,3,4,3,3,3,"Employable",1,0
"737",4,4,4,4,4,4,4,"Employable",1,0
"738",4,4,3,4,3,4,4,"Employable",1,0
"739",5,5,5,5,5,5,4,"LessEmployable",0,1
"740",3,4,4,4,3,4,4,"Employable",1,0
"741",4,3,3,2,3,3,2,"LessEmployable",0,1
"742",3,3,3,3,3,2,2,"LessEmployable",0,1
"743",4,4,3,4,4,4,3,"LessEmployable",0,1
"744",3,3,3,3,3,3,3,"LessEmployable",0,1
"745",5,3,3,3,3,3,3,"LessEmployable",0,1
"746",4,4,4,4,4,4,4,"LessEmployable",0,1
"747",4,4,4,5,5,4,4,"LessEmployable",0,1
"748",4,3,3,4,5,4,3,"LessEmployable",0,1
"749",5,4,5,4,4,4,4,"Employable",1,0
"750",5,4,4,4,4,4,4,"Employable",1,0
"751",5,4,5,5,5,5,4,"Employable",1,0
"752",4,3,3,3,5,3,3,"LessEmployable",0,1
"753",5,5,5,5,5,4,4,"Employable",1,0
"754",5,5,4,4,5,5,4,"Employable",1,0
"755",4,4,4,4,3,3,3,"LessEmployable",0,1
"756",5,5,5,5,5,4,4,"Employable",1,0
"757",5,4,4,4,4,5,4,"Employable",1,0
"758",5,5,5,5,5,5,4,"Employable",1,0
"759",4,3,4,4,3,4,3,"LessEmployable",0,1
"760",4,3,4,4,3,3,3,"LessEmployable",0,1
"761",5,5,4,5,5,4,4,"LessEmployable",0,1
"762",4,4,4,5,5,4,3,"LessEmployable",0,1
"763",5,4,5,5,5,5,5,"Employable",1,0
"764",5,3,3,4,5,3,3,"Employable",1,0
"765",5,5,5,5,4,5,4,"Employable",1,0
"766",5,5,4,5,4,5,5,"Employable",1,0
"767",4,4,3,3,3,4,4,"LessEmployable",0,1
"768",5,5,5,5,5,4,4,"Employable",1,0
"769",5,5,5,5,5,4,4,"Employable",1,0
"770",5,4,5,5,5,4,4,"Employable",1,0
"771",5,4,5,5,5,4,4,"Employable",1,0
"772",4,3,4,3,4,3,3,"LessEmployable",0,1
"773",5,4,5,5,4,4,4,"LessEmployable",0,1
"774",5,3,4,4,3,4,3,"LessEmployable",0,1
"775",5,3,3,3,4,3,3,"LessEmployable",0,1
"776",5,4,5,5,5,4,4,"Employable",1,0
"777",5,5,5,5,5,4,4,"Employable",1,0
"778",5,4,5,5,5,4,4,"Employable",1,0
"779",5,5,5,5,5,5,4,"Employable",1,0
"780",5,4,5,5,5,4,4,"Employable",1,0
"781",5,5,5,5,5,5,4,"Employable",1,0
"782",5,4,5,5,4,4,4,"Employable",1,0
"783",5,3,4,4,4,4,3,"LessEmployable",0,1
"784",4,4,4,4,3,4,4,"LessEmployable",0,1
"785",5,4,5,5,5,4,4,"Employable",1,0
"786",4,5,4,4,4,5,4,"Employable",1,0
"787",4,3,3,3,3,3,3,"Employable",1,0
"788",4,4,4,4,5,4,4,"LessEmployable",0,1
"789",3,3,3,4,3,3,3,"Employable",1,0
"790",4,4,4,3,3,3,3,"Employable",1,0
"791",4,4,4,3,4,3,3,"LessEmployable",0,1
"792",4,4,4,4,4,4,4,"Employable",1,0
"793",3,3,3,4,3,3,3,"Employable",1,0
"794",5,5,3,5,3,5,5,"Employable",1,0
"795",4,4,4,4,4,4,4,"Employable",1,0
"796",4,5,5,5,5,5,5,"Employable",1,0
"797",4,4,4,4,4,4,4,"Employable",1,0
"798",4,3,3,3,3,3,3,"Employable",1,0
"799",3,4,3,4,3,4,3,"Employable",1,0
"800",4,4,4,4,4,4,4,"LessEmployable",0,1
"801",4,3,3,3,4,3,4,"LessEmployable",0,1
"802",4,4,4,4,3,4,3,"Employable",1,0
"803",3,4,4,4,3,4,3,"Employable",1,0
"804",5,4,4,4,4,4,4,"Employable",1,0
"805",4,4,4,3,3,4,4,"Employable",1,0
"806",3,4,4,3,4,4,3,"LessEmployable",0,1
"807",4,3,2,3,2,2,3,"Employable",1,0
"808",4,3,4,3,4,3,3,"Employable",1,0
"809",4,4,3,4,3,4,3,"LessEmployable",0,1
"810",4,4,4,4,3,3,3,"Employable",1,0
"811",5,3,3,4,3,3,3,"LessEmployable",0,1
"812",4,3,3,3,3,3,2,"Employable",1,0
"813",3,4,4,4,4,4,4,"Employable",1,0
"814",4,5,4,5,4,4,4,"Employable",1,0
"815",4,4,4,3,4,4,3,"LessEmployable",0,1
"816",4,4,4,4,3,4,4,"Employable",1,0
"817",5,5,5,5,5,5,4,"Employable",1,0
"818",3,3,3,3,3,2,2,"Employable",1,0
"819",4,4,4,4,4,4,3,"LessEmployable",0,1
"820",4,4,4,4,4,4,4,"LessEmployable",0,1
"821",4,3,3,3,3,3,2,"Employable",1,0
"822",5,4,4,4,4,4,4,"Employable",1,0
"823",3,3,3,3,3,3,3,"LessEmployable",0,1
"824",4,3,4,3,3,3,3,"Employable",1,0
"825",4,3,4,3,3,3,2,"Employable",1,0
"826",2,2,3,3,3,3,3,"LessEmployable",0,1
"827",4,4,3,4,3,4,3,"LessEmployable",0,1
"828",4,4,4,3,3,4,3,"Employable",1,0
"829",4,4,5,4,4,4,4,"LessEmployable",0,1
"830",5,4,4,4,4,3,3,"LessEmployable",0,1
"831",4,4,4,4,3,4,3,"LessEmployable",0,1
"832",4,4,4,4,4,4,4,"LessEmployable",0,1
"833",4,5,4,4,4,4,4,"LessEmployable",0,1
"834",5,5,4,5,5,5,5,"Employable",1,0
"835",4,4,4,4,4,4,4,"Employable",1,0
"836",5,4,4,4,4,4,3,"LessEmployable",0,1
"837",5,4,4,4,4,4,3,"LessEmployable",0,1
"838",5,5,4,4,5,4,5,"LessEmployable",0,1
"839",5,4,4,4,4,4,3,"Employable",1,0
"840",5,4,4,4,4,4,3,"Employable",1,0
"841",5,5,4,4,5,4,4,"Employable",1,0
"842",4,3,4,4,4,3,3,"Employable",1,0
"843",5,4,3,3,3,4,4,"LessEmployable",0,1
"844",5,5,5,5,5,5,5,"Employable",1,0
"845",5,4,5,5,5,5,4,"Employable",1,0
"846",5,4,5,5,5,5,4,"Employable",1,0
"847",5,3,5,4,4,3,3,"Employable",1,0
"848",5,4,5,5,5,4,4,"Employable",1,0
"849",5,3,5,4,4,4,3,"LessEmployable",0,1
"850",5,5,5,5,5,4,3,"Employable",1,0
"851",5,5,5,5,5,5,3,"Employable",1,0
"852",5,4,4,4,4,4,4,"LessEmployable",0,1
"853",4,3,4,4,4,3,3,"LessEmployable",0,1
"854",4,4,4,4,4,4,3,"LessEmployable",0,1
"855",4,4,5,4,4,4,3,"LessEmployable",0,1
"856",5,3,5,4,5,5,3,"Employable",1,0
"857",5,3,3,3,3,3,2,"Employable",1,0
"858",4,3,4,3,4,3,4,"Employable",1,0
"859",4,3,4,4,4,3,3,"Employable",1,0
"860",4,3,3,2,3,2,3,"Employable",1,0
"861",5,5,5,5,5,5,4,"LessEmployable",0,1
"862",4,3,4,3,4,3,4,"LessEmployable",0,1
"863",3,3,4,4,4,3,3,"LessEmployable",0,1
"864",4,3,4,4,4,3,3,"Employable",1,0
"865",4,4,4,4,4,3,3,"Employable",1,0
"866",4,4,5,5,4,5,5,"LessEmployable",0,1
"867",4,5,5,5,5,4,5,"Employable",1,0
"868",4,5,5,5,5,4,5,"Employable",1,0
"869",4,4,3,4,4,4,4,"LessEmployable",0,1
"870",4,3,4,4,4,3,3,"LessEmployable",0,1
"871",4,3,4,4,3,4,4,"LessEmployable",0,1
"872",3,3,4,4,4,4,4,"LessEmployable",0,1
"873",5,4,4,4,5,4,5,"LessEmployable",0,1
"874",3,3,3,3,4,3,3,"Employable",1,0
"875",3,3,4,3,4,3,3,"Employable",1,0
"876",3,4,3,4,3,4,3,"Employable",1,0
"877",4,4,4,3,4,4,3,"LessEmployable",0,1
"878",5,4,4,3,3,4,4,"LessEmployable",0,1
"879",4,3,2,4,3,4,3,"LessEmployable",0,1
"880",5,5,5,4,5,4,5,"LessEmployable",0,1
"881",4,2,4,4,3,3,3,"LessEmployable",0,1
"882",5,5,5,5,5,5,5,"LessEmployable",0,1
"883",4,3,3,4,3,3,3,"Employable",1,0
"884",5,4,3,3,3,3,2,"LessEmployable",0,1
"885",5,5,5,5,5,4,5,"Employable",1,0
"886",4,5,5,5,5,5,5,"LessEmployable",0,1
"887",4,5,5,3,3,5,3,"LessEmployable",0,1
"888",4,5,3,5,5,5,3,"Employable",1,0
"889",3,5,5,3,5,5,3,"Employable",1,0
"890",3,3,3,3,3,3,3,"Employable",1,0
"891",4,3,4,4,4,3,3,"Employable",1,0
"892",4,3,4,2,2,2,2,"LessEmployable",0,1
"893",3,2,3,3,3,3,3,"LessEmployable",0,1
"894",5,5,4,5,4,5,4,"LessEmployable",0,1
"895",3,4,3,4,3,4,3,"Employable",1,0
"896",4,3,3,3,3,3,3,"Employable",1,0
"897",5,4,4,4,4,4,4,"Employable",1,0
"898",4,4,4,4,4,4,4,"Employable",1,0
"899",4,4,4,4,3,3,3,"LessEmployable",0,1
"900",5,4,5,5,5,5,4,"LessEmployable",0,1
"901",3,4,3,3,3,3,3,"LessEmployable",0,1
"902",4,3,3,3,3,3,3,"Employable",1,0
"903",4,5,4,4,4,4,4,"LessEmployable",0,1
"904",5,4,4,4,4,4,4,"Employable",1,0
"905",5,5,4,5,4,4,5,"Employable",1,0
"906",4,4,4,4,5,5,5,"Employable",1,0
"907",4,3,3,4,3,3,3,"LessEmployable",0,1
"908",4,5,5,5,4,4,4,"Employable",1,0
"909",4,4,4,3,3,4,3,"Employable",1,0
"910",4,4,4,3,3,4,3,"Employable",1,0
"911",4,5,4,5,5,5,5,"Employable",1,0
"912",4,4,4,4,4,4,3,"Employable",1,0
"913",4,3,3,3,3,3,2,"LessEmployable",0,1
"914",3,3,3,2,3,3,3,"LessEmployable",0,1
"915",4,4,3,3,4,4,3,"Employable",1,0
"916",4,4,3,3,3,3,3,"Employable",1,0
"917",4,4,4,3,3,3,3,"Employable",1,0
"918",5,3,3,4,3,3,3,"Employable",1,0
"919",4,4,4,4,4,4,4,"Employable",1,0
"920",4,4,3,4,3,4,4,"Employable",1,0
"921",5,5,5,5,5,5,4,"LessEmployable",0,1
"922",3,4,4,4,3,4,4,"Employable",1,0
"923",4,3,3,2,3,3,2,"LessEmployable",0,1
"924",3,3,3,3,3,2,2,"LessEmployable",0,1
"925",4,4,3,4,4,4,3,"LessEmployable",0,1
"926",3,3,3,3,3,3,3,"LessEmployable",0,1
"927",5,3,3,3,3,3,3,"LessEmployable",0,1
"928",4,4,4,4,4,4,4,"LessEmployable",0,1
"929",4,4,4,5,5,4,4,"LessEmployable",0,1
"930",4,3,3,4,5,4,3,"LessEmployable",0,1
"931",5,4,5,4,4,4,4,"Employable",1,0
"932",5,4,4,4,4,4,4,"Employable",1,0
"933",5,4,5,5,5,5,4,"Employable",1,0
"934",4,3,3,3,5,3,3,"LessEmployable",0,1
"935",5,5,5,5,5,4,4,"Employable",1,0
"936",5,5,4,4,5,5,4,"Employable",1,0
"937",4,4,4,4,3,3,3,"LessEmployable",0,1
"938",5,5,5,5,5,4,4,"Employable",1,0
"939",5,4,4,4,4,5,4,"Employable",1,0
"940",5,5,5,5,5,5,4,"Employable",1,0
"941",4,3,4,4,3,4,3,"LessEmployable",0,1
"942",4,3,4,4,3,3,3,"LessEmployable",0,1
"943",5,5,4,5,5,4,4,"LessEmployable",0,1
"944",4,4,4,5,5,4,3,"LessEmployable",0,1
"945",5,4,5,5,5,5,5,"Employable",1,0
"946",5,3,3,4,5,3,3,"Employable",1,0
"947",5,5,5,5,4,5,4,"Employable",1,0
"948",5,5,4,5,4,5,5,"Employable",1,0
"949",4,4,3,3,3,4,4,"LessEmployable",0,1
"950",5,5,5,5,5,4,4,"Employable",1,0
"951",5,5,5,5,5,4,4,"Employable",1,0
"952",5,4,5,5,5,4,4,"Employable",1,0
"953",5,4,5,5,5,4,4,"Employable",1,0
"954",4,3,4,3,4,3,3,"LessEmployable",0,1
"955",5,4,5,5,4,4,4,"LessEmployable",0,1
"956",5,3,4,4,3,4,3,"LessEmployable",0,1
"957",5,3,3,3,4,3,3,"LessEmployable",0,1
"958",5,4,5,5,5,4,4,"Employable",1,0
"959",5,5,5,5,5,4,4,"Employable",1,0
"960",5,4,5,5,5,4,4,"Employable",1,0
"961",5,5,5,5,5,5,4,"Employable",1,0
"962",5,4,5,5,5,4,4,"Employable",1,0
"963",5,5,5,5,5,5,4,"Employable",1,0
"964",5,4,5,5,4,4,4,"Employable",1,0
"965",5,3,4,4,4,4,3,"LessEmployable",0,1
"966",4,4,4,4,3,4,4,"LessEmployable",0,1
"967",5,4,5,5,5,4,4,"Employable",1,0
"968",4,5,4,4,4,5,4,"Employable",1,0
"969",4,3,3,3,3,3,3,"Employable",1,0
"970",4,4,4,4,5,4,4,"LessEmployable",0,1
"971",3,3,3,4,3,3,3,"Employable",1,0
"972",4,4,4,3,3,3,3,"Employable",1,0
"973",4,4,4,3,4,3,3,"LessEmployable",0,1
"974",4,4,4,4,4,4,4,"Employable",1,0
"975",3,3,3,4,3,3,3,"Employable",1,0
"976",5,5,3,5,3,5,5,"Employable",1,0
"977",4,4,4,4,4,4,4,"Employable",1,0
"978",4,5,5,5,5,5,5,"Employable",1,0
"979",4,4,4,4,4,4,4,"Employable",1,0
"980",4,3,3,3,3,3,3,"Employable",1,0
"981",3,4,3,4,3,4,3,"Employable",1,0
"982",4,4,4,4,4,4,4,"LessEmployable",0,1
"983",4,3,3,3,4,3,4,"LessEmployable",0,1
"984",4,4,4,4,3,4,3,"Employable",1,0
"985",3,4,4,4,3,4,3,"Employable",1,0
"986",5,4,4,4,4,4,4,"Employable",1,0
"987",4,4,4,3,3,4,4,"Employable",1,0
"988",3,4,4,3,4,4,3,"LessEmployable",0,1
"989",4,3,2,3,2,2,3,"Employable",1,0
"990",4,3,4,3,4,3,3,"Employable",1,0
"991",4,4,3,4,3,4,3,"LessEmployable",0,1
"992",4,4,4,4,3,3,3,"Employable",1,0
"993",5,3,3,4,3,3,3,"LessEmployable",0,1
"994",4,3,3,3,3,3,2,"Employable",1,0
"995",3,4,4,4,4,4,4,"Employable",1,0
"996",4,5,4,5,4,4,4,"Employable",1,0
"997",4,4,4,3,4,4,3,"LessEmployable",0,1
"998",4,4,4,4,3,4,4,"Employable",1,0
"999",5,5,5,5,5,5,4,"Employable",1,0
"1000",3,3,3,3,3,2,2,"Employable",1,0
"1001",4,4,4,4,4,4,3,"LessEmployable",0,1
"1002",4,4,4,4,4,4,4,"LessEmployable",0,1
"1003",4,3,3,3,3,3,2,"Employable",1,0
"1004",5,4,4,4,4,4,4,"Employable",1,0
"1005",3,3,3,3,3,3,3,"LessEmployable",0,1
"1006",4,3,4,3,3,3,3,"Employable",1,0
"1007",4,3,4,3,3,3,2,"Employable",1,0
"1008",2,2,3,3,3,3,3,"LessEmployable",0,1
